"","EG_node1","EG_node2","Source"
"398","10474","10629","ppi"
"399","10474","6883","ppi"
"400","23451","51741","ppi"
"401","23451","6638","ppi"
"402","23451","10262","ppi"
"403","23451","83443","ppi"
"404","23451","23020","ppi"
"405","11193","6628","ppi"
"406","8676","8676","ppi"
"407","8575","8575","ppi"
"408","9252","3164","ppi"
"409","9252","572","ppi"
"410","10001","51586","ppi"
"411","9191","841","ppi"
"412","9191","9191","ppi"
"413","23020","7532","ppi"
"414","23020","23020","ppi"
"415","23020","6628","ppi"
"416","261726","523","ppi"
"417","8481","55722","ppi"
"418","8481","7266","ppi"
"419","8481","117178","ppi"
"420","8481","22994","ppi"
"421","8481","5347","ppi"
"422","8481","80254","ppi"
"423","8481","10464","ppi"
"424","8481","84318","ppi"
"425","8481","57534","ppi"
"426","8481","85459","ppi"
"427","8481","585","ppi"
"428","8481","26005","ppi"
"429","8481","90102","ppi"
"430","8481","57536","ppi"
"431","8481","197335","ppi"
"432","8481","93594","ppi"
"433","8986","5594","ppi"
"434","8986","8986","ppi"
"435","5495","9636","ppi"
"436","1147","5495","ppi"
"437","8576","22934","ppi"
"438","10159","54407","ppi"
"439","10159","5898","ppi"
"440","10159","84128","ppi"
"441","10159","90102","ppi"
"442","10159","84317","ppi"
"443","10159","28956","ppi"
"444","10159","55004","ppi"
"445","10159","54978","ppi"
"446","10159","29956","ppi"
"447","10542","10159","ppi"
"448","10159","51552","ppi"
"449","10159","523","ppi"
"450","10159","112464","ppi"
"451","10159","10097","ppi"
"452","10159","26136","ppi"
"453","10159","23256","ppi"
"454","10159","10848","ppi"
"455","10159","22841","ppi"
"456","10159","387","ppi"
"457","10159","29763","ppi"
"458","10159","129531","ppi"
"459","10159","9798","ppi"
"460","10159","8650","ppi"
"461","10159","27107","ppi"
"462","10159","337867","ppi"
"463","8412","9564","ppi"
"464","8666","51386","ppi"
"465","8666","10480","ppi"
"466","8669","8662","ppi"
"467","8669","10480","ppi"
"468","5716","5704","ppi"
"469","5717","5716","ppi"
"470","5716","5719","ppi"
"471","5716","5702","ppi"
"472","5716","5700","ppi"
"473","79090","6399","ppi"
"474","5063","5879","ppi"
"475","5063","998","ppi"
"476","5063","5063","ppi"
"477","5810","5884","ppi"
"478","5884","3364","ppi"
"479","5884","5983","ppi"
"480","5884","5982","ppi"
"481","10539","10539","ppi"
"482","9025","7325","ppi"
"483","9025","8924","ppi"
"484","9025","9025","ppi"
"485","9025","7321","ppi"
"486","8725","5202","ppi"
"487","7398","57599","ppi"
"488","10725","9882","ppi"
"489","10725","10725","ppi"
"490","5218","5218","ppi"
"491","22888","7321","ppi"
"492","22888","7332","ppi"
"493","23014","23741","ppi"
"494","22995","80254","ppi"
"495","22995","121441","ppi"
"496","10733","22995","ppi"
"497","10277","7322","ppi"
"498","10277","84993","ppi"
"499","8518","26610","ppi"
"500","8518","55250","ppi"
"501","8518","4792","ppi"
"502","1147","8518","ppi"
"503","8518","8518","ppi"
"504","1102","1102","ppi"
"505","10112","8658","ppi"
"506","10112","25930","ppi"
"507","10112","8924","ppi"
"508","10112","4152","ppi"
"509","10112","29775","ppi"
"510","10112","3633","ppi"
"511","10112","7259","ppi"
"512","10112","1059","ppi"
"513","10112","80256","ppi"
"514","10112","5870","ppi"
"515","11143","84289","ppi"
"516","11143","79960","ppi"
"517","11143","81620","ppi"
"518","8658","8658","ppi"
"519","8658","4012","ppi"
"520","23557","282991","ppi"
"521","8518","23557","ppi"
"522","9019","5781","ppi"
"523","10592","10051","ppi"
"524","10592","54892","ppi"
"525","9372","4088","ppi"
"526","9372","4087","ppi"
"527","9530","196513","ppi"
"528","9530","7132","ppi"
"529","10412","51154","ppi"
"530","4850","7322","ppi"
"531","4850","7324","ppi"
"532","4850","4850","ppi"
"533","10775","10557","ppi"
"534","23641","8204","ppi"
"535","23641","468","ppi"
"536","160","10928","ppi"
"537","160","1213","ppi"
"538","160","163","ppi"
"539","6780","2332","ppi"
"540","6780","6128","ppi"
"541","6780","6175","ppi"
"542","6780","9045","ppi"
"543","6780","6187","ppi"
"544","6780","5976","ppi"
"545","6780","6780","ppi"
"546","8575","6780","ppi"
"547","9113","6789","ppi"
"548","9113","26524","ppi"
