from	to
1386	3135
1386	4907
1386	1585
1386	7432
1386	5179
1386	1636
1386	6401
1386	3077
4842	1385
4842	466
4842	2113
4842	4782
4842	4790
4842	7020
4843	3725
4843	1387
4843	2033
4843	6774
4843	405
4843	3091
4843	1051
4843	1052
4843	2099
4843	4790
7048	7040
7048	7042
7048	7043
7048	1958
7048	2113
7048	2114
7048	2118
7048	2313
7048	6688
7040	3725
7040	1385
7040	4609
7040	3091
7040	6667
7040	367
7040	1051
7040	1958
7040	2034
7040	5914
7040	7391
7040	7392
7040	7490
3552	3725
3552	6667
3552	1051
3552	1052
3552	4790
3553	3725
3553	1385
3553	6667
3553	466
3553	1051
3553	1052
3553	4790
3553	5966
3553	6688
7124	3725
7124	1385
7124	6774
7124	6667
7124	466
7124	1051
7124	1052
7124	1958
7124	2113
7124	2118
7124	4790
7124	5451
7124	6688
7124	6776
7124	7020
6654	4609
6654	6774
6654	367
6654	1958
6654	4782
6654	5914
6654	7020
6654	7391
6654	595
2064	1499
2064	1385
2064	466
2064	2113
2064	2118
2064	4602
2064	7020
3725	5228
3725	7422
3725	7423
3725	7424
3725	488
3725	1385
3725	226
3725	7054
3725	4609
3725	6774
3725	3558
3725	51176
3725	6934
3725	83439
3725	5054
3725	6667
3725	1277
3725	367
3725	466
3725	1958
3725	2099
3725	2100
3725	2113
3725	2114
3725	4602
3725	4782
3725	5241
3725	5914
3725	5915
3725	5916
3725	5966
3725	6688
3725	6932
3725	1906
3725	8731
3725	2152
3725	6352
3725	5327
3725	3383
3725	595
3725	7037
3725	5443
3725	8061
3725	4316
3725	351
3725	5243
3725	348
3725	1026
3725	1588
3725	9982
3725	4318
3725	4585
3725	8996
3725	5449
3725	5742
3725	3569
3725	1113
3725	1081
3725	4922
3725	5329
3725	6532
3725	6707
3725	11336
3725	7432
3725	5179
3725	1636
3725	6401
3725	3077
3725	4144
3725	4321
3725	6441
3725	6647
3725	11344
3725	10875
3725	2194
3725	7077
3725	2006
3725	4200
3725	56125
3725	5055
3725	7076
3725	943
3725	1621
3725	1594
3725	1583
3725	9620
3725	875
3725	3560
3725	7980
3725	4314
3725	7134
3725	7431
3725	8431
3725	3875
3725	3718
3725	3687
3725	921
3725	146664
3725	6916
3725	7412
3725	9332
3725	2629
3725	4322
3725	5730
3725	3868
3725	3485
3725	973
3725	933
3725	6590
3725	7343
5228	4609
5228	6774
5228	3091
5228	2034
5228	2113
5228	4790
7422	4609
7422	1387
7422	2033
7422	6774
7422	405
7422	3091
7422	6667
7422	367
7422	1958
7422	2034
7422	2113
7422	4790
7422	5241
7422	5914
7422	7020
7423	4609
7423	6774
7423	3091
7423	6667
7423	1958
7423	2034
7423	2113
7423	4790
7423	7020
7424	4609
7424	6774
7424	3091
7424	2034
7424	2113
7424	4790
7424	7020
1647	367
1647	2099
1647	4790
1647	5451
1647	5914
1499	1387
1499	2033
1499	51176
1499	6934
1499	83439
1499	1958
1499	8607
1499	6932
1499	7020
1499	595
1499	1956
1499	5175
7042	1385
7042	4609
7042	3091
7042	367
7042	466
7042	2034
7042	5914
7042	7391
7042	7392
7043	1385
7043	4609
7043	3091
7043	2034
7043	7020
488	367
488	1958
488	7020
488	7391
488	7392
155	1385
155	466
627	1385
1385	7054
1385	4609
1385	1387
1385	2033
1385	6774
1385	596
1385	3558
1385	1051
1385	1958
1385	2313
1385	5915
1385	861
1385	5972
1385	2152
1385	3356
1385	6352
1385	5327
1385	51129
1385	7350
1385	3383
1385	595
1385	7018
1385	7037
1385	3398
1385	8900
1385	374
1385	1588
1385	3630
1385	4582
1385	4585
1385	5742
1385	56729
1385	6528
1385	7038
1385	7173
1385	3569
1385	1584
1385	1113
1385	1081
1385	2689
1385	3135
1385	4014
1385	4056
1385	9412
1385	4628
1385	4922
1385	5122
1385	5423
1385	6573
1385	6574
1385	6532
1385	8869
1385	925
1385	796
1385	360
1385	43
1385	7150
1385	7368
1385	1585
1385	7432
1385	5179
1385	3077
1385	3484
1385	2516
1385	7166
1385	11344
1385	2668
1385	1831
1385	2006
1385	89874
1385	4200
1385	4477
1385	4778
1385	4864
1385	4953
1385	56125
1385	5046
1385	5082
1385	5376
1385	23082
1385	5827
1385	5980
1385	5055
1385	6723
1385	6725
1385	6898
1385	7076
1385	943
1385	8013
1385	2908
1385	4340
1385	1655
1385	7425
1385	3162
1385	3122
1385	3119
1385	3112
1385	9156
1385	2117
1385	1738
1385	1734
1385	1621
1385	1594
1385	1583
1385	1139
1385	9620
1385	920
1385	683
1385	593
1385	26229
2027	1387
2027	2033
2027	405
2027	3091
2026	4609
2026	1387
2026	2033
2026	405
2026	3091
2023	4609
2023	1387
2023	2033
2023	405
2023	3091
2597	4609
2597	1387
2597	2033
2597	405
2597	3091
226	1387
226	2033
226	405
226	3091
226	6667
226	4782
5211	1387
5211	2033
5211	405
5211	3091
5209	1387
5209	2033
5209	405
5209	3091
5209	4782
5209	5241
5209	7020
3350	6667
316	6774
316	6667
7054	6774
7054	466
7054	3201
7054	7020
4609	6774
4609	596
4609	3091
4609	3558
4609	51176
4609	6934
4609	83439
4609	7297
4609	6667
4609	367
4609	675
4609	1053
4609	1875
4609	2099
4609	2113
4609	2114
4609	3214
4609	3728
4609	4602
4609	4782
4609	4790
4609	5241
4609	8554
4609	9063
4609	5451
4609	5452
4609	5914
4609	5915
4609	5933
4609	6776
4609	6932
4609	7020
4609	7490
4609	8731
4609	6319
4609	7350
4609	3383
4609	595
4609	1030
4609	7037
4609	3398
4609	8061
4609	351
4609	8209
4609	23415
4609	131096
4609	8570
4609	4318
4609	4582
4609	8996
4609	7352
4609	5423
4609	6573
4609	328
4609	43
4609	7150
4609	1636
4609	5111
4609	3308
4609	4144
4609	4353
4609	6647
