EG_node1	EG_node2	Source
51102	C00658	metabosignal
1892	C00658	metabosignal
1962	C00658	metabosignal
3030	C00658	metabosignal
55825	C00040	metabosignal
51102	C00040	metabosignal
30	C00040	metabosignal
10449	C00040	metabosignal
3032	C00040	metabosignal
C20878	201562	metabosignal
C20878	9200	metabosignal
C20878	401494	metabosignal
C20878	51495	metabosignal
201562	C20879	metabosignal
9200	C20879	metabosignal
401494	C20879	metabosignal
51495	C20879	metabosignal
C20879	9524	metabosignal
79993	C20877	metabosignal
64834	C20877	metabosignal
83401	C20877	metabosignal
6785	C20877	metabosignal
60481	C20877	metabosignal
54898	C20877	metabosignal
79071	C20877	metabosignal
C20878	51144	metabosignal
C20877	51144	metabosignal
122970	C02843	metabosignal
10965	C02843	metabosignal
570	C02843	metabosignal
641371	C02843	metabosignal
11332	C02843	metabosignal
9524	C02843	metabosignal
79993	C20876	metabosignal
64834	C20876	metabosignal
83401	C20876	metabosignal
6785	C20876	metabosignal
60481	C20876	metabosignal
54898	C20876	metabosignal
79071	C20876	metabosignal
9524	C20876	metabosignal
C00154	8310	metabosignal
C05272	8310	metabosignal
C02593	8310	metabosignal
C05273	8310	metabosignal
C01832	8310	metabosignal
C03221	8310	metabosignal
C05274	8310	metabosignal
C05275	8310	metabosignal
C01944	8310	metabosignal
C05276	8310	metabosignal
C05270	8310	metabosignal
C05271	8310	metabosignal
C00136	8310	metabosignal
C00154	33	metabosignal
C05272	33	metabosignal
C02593	33	metabosignal
C05273	33	metabosignal
C01832	33	metabosignal
C03221	33	metabosignal
C05274	33	metabosignal
C05275	33	metabosignal
C01944	33	metabosignal
C05276	33	metabosignal
C05270	33	metabosignal
C05271	33	metabosignal
C05270	35	metabosignal
C05271	35	metabosignal
C00136	35	metabosignal
C00154	34	metabosignal
C05272	34	metabosignal
C02593	34	metabosignal
C05273	34	metabosignal
C01832	34	metabosignal
C03221	34	metabosignal
C05274	34	metabosignal
C05275	34	metabosignal
C01944	34	metabosignal
C05276	34	metabosignal
C05270	34	metabosignal
C05271	34	metabosignal
C00136	34	metabosignal
C00154	51	metabosignal
C05272	51	metabosignal
C02593	51	metabosignal
C05273	51	metabosignal
C01832	51	metabosignal
C03221	51	metabosignal
C05274	51	metabosignal
C05275	51	metabosignal
C01944	51	metabosignal
C05276	51	metabosignal
C05270	51	metabosignal
C05271	51	metabosignal
C00136	51	metabosignal
1962	C00332	metabosignal
3033	C00332	metabosignal
3028	C00332	metabosignal
3295	C00332	metabosignal
39	C00332	metabosignal
38	C00332	metabosignal
1892	C01144	metabosignal
1962	C01144	metabosignal
3030	C01144	metabosignal
3033	C01144	metabosignal
3028	C01144	metabosignal
3295	C01144	metabosignal
1892	C00877	metabosignal
1962	C00877	metabosignal
3030	C00877	metabosignal
8310	C00877	metabosignal
35	C00877	metabosignal
34	C00877	metabosignal
51	C00877	metabosignal
1962	C05280	metabosignal
C05280	1632	metabosignal
C05280	10455	metabosignal
1962	C05279	metabosignal
1632	C05279	metabosignal
10455	C05279	metabosignal
30	C00010	metabosignal
10449	C00010	metabosignal
3032	C00010	metabosignal
39	C00010	metabosignal
38	C00010	metabosignal
127	C00226	metabosignal
128	C00226	metabosignal
130	C00226	metabosignal
124	C00226	metabosignal
125	C00226	metabosignal
126	C00226	metabosignal
131	C00226	metabosignal
217	C00071	metabosignal
224	C00071	metabosignal
221	C00071	metabosignal
219	C00071	metabosignal
222	C00071	metabosignal
220	C00071	metabosignal
218	C00071	metabosignal
501	C00071	metabosignal
223	C00071	metabosignal
127	C00071	metabosignal
128	C00071	metabosignal
130	C00071	metabosignal
124	C00071	metabosignal
125	C00071	metabosignal
126	C00071	metabosignal
131	C00071	metabosignal
1738	C00527	metabosignal
55753	C00527	metabosignal
55526	C00527	metabosignal
4967	C00527	metabosignal
1743	C00527	metabosignal
C00877	2639	metabosignal
C00527	2639	metabosignal
C00154	37	metabosignal
C05272	37	metabosignal
C02593	37	metabosignal
C05273	37	metabosignal
217	C00162	metabosignal
224	C00162	metabosignal
221	C00162	metabosignal
219	C00162	metabosignal
222	C00162	metabosignal
220	C00162	metabosignal
218	C00162	metabosignal
501	C00162	metabosignal
223	C00162	metabosignal
23305	C00162	metabosignal
2182	C00162	metabosignal
2180	C00162	metabosignal
2181	C00162	metabosignal
23205	C00162	metabosignal
C00162	1579	metabosignal
C00162	284541	metabosignal
C00083	1374	metabosignal
32	1374	metabosignal
23305	1374	metabosignal
2182	1374	metabosignal
2180	1374	metabosignal
2181	1374	metabosignal
23205	1374	metabosignal
C00154	1374	metabosignal
C02990	1374	metabosignal
C00154	1376	metabosignal
C02990	1376	metabosignal
C00083	126129	metabosignal
32	126129	metabosignal
23305	126129	metabosignal
2182	126129	metabosignal
2180	126129	metabosignal
2181	126129	metabosignal
23205	126129	metabosignal
C00154	126129	metabosignal
C02990	126129	metabosignal
C00083	1375	metabosignal
32	1375	metabosignal
23305	1375	metabosignal
2182	1375	metabosignal
2180	1375	metabosignal
2181	1375	metabosignal
23205	1375	metabosignal
C00154	1375	metabosignal
C02990	1375	metabosignal
C00024	3157	metabosignal
C00332	3157	metabosignal
C00024	3158	metabosignal
C00332	3158	metabosignal
3157	C00356	metabosignal
3158	C00356	metabosignal
C00024	3155	metabosignal
C00356	3155	metabosignal
C00024	54511	metabosignal
C00356	54511	metabosignal
C01089	622	metabosignal
C01089	56898	metabosignal
3155	C00164	metabosignal
54511	C00164	metabosignal
622	C00164	metabosignal
56898	C00164	metabosignal
C00332	5019	metabosignal
C00164	5019	metabosignal
C00332	64064	metabosignal
C00164	64064	metabosignal
C05443	120227	metabosignal
C15782	6309	metabosignal
C05437	10682	metabosignal
120227	C01561	metabosignal
C01561	1594	metabosignal
6309	C01164	metabosignal
C01164	1717	metabosignal
6309	C01189	metabosignal
10682	C01189	metabosignal
10682	C03845	metabosignal
6309	C15777	metabosignal
1717	C15781	metabosignal
C15781	rn:R07493	metabosignal
6309	C15780	metabosignal
1717	C15780	metabosignal
1717	C00187	metabosignal
C05437	1718	metabosignal
C01164	1718	metabosignal
C01189	1718	metabosignal
C03845	1718	metabosignal
C00187	1718	metabosignal
1718	C01802	metabosignal
1718	C05107	metabosignal
10682	C05439	metabosignal
1718	C05439	metabosignal
1718	C05108	metabosignal
1718	C15915	metabosignal
1717	C08821	metabosignal
C08821	rn:R07488	metabosignal
C01943	1595	metabosignal
1595	C11508	metabosignal
C05108	7108	metabosignal
C11508	7108	metabosignal
6309	C15783	metabosignal
1717	C15783	metabosignal
C01054	4047	metabosignal
1595	C11455	metabosignal
7108	C11455	metabosignal
10682	C15776	metabosignal
7108	C15776	metabosignal
C15808	50814	metabosignal
1718	C01724	metabosignal
1595	C01724	metabosignal
4047	C01724	metabosignal
1718	C05109	metabosignal
C05108	6307	metabosignal
C15808	6307	metabosignal
C05108	10826	metabosignal
C15808	10826	metabosignal
50814	C15816	metabosignal
C15816	51478	metabosignal
